ID,_case27_listing_type,Title,Content,_job_phone,_whatsapp,_fone-2,_job_location,_listing-details,_location,_links,_social-networks,_job_website,_job_email,_job_logo,_job_expires,_job_gallery,_job_cover,_form_heading,_other,Content,Title,"Post Type",Tags,_job_location,_contact-information,_featured
459,place,"Minas Shop Hospitalar",,,,,"Rua Nossa Senhora do Carmo, 239 - Centro - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,,,"Minas Shop Hospitalar",job_listing,hospitalares|ortopedico|ortopedicos,"Rua Nossa Senhora do Carmo, 239 - Centro - Unaí - MG",,
460,place,"Academia Sport Forma","😃💪🏽Aquela força a mais pra você manter a imunidade em alta e por um preço de amigos!

Agende seu treino on-line clicando aqui 👇:

<a href=""https://l.instagram.com/?u=http%3A%2F%2Fwww.agendahorarios.com.br%2FPortal&amp;e=ATPgY0UWFszGyx9JjA9cV7EdwKGby4VAbQzpCx0abyjmS-dSuRX_lNDuRoPhdqlzKOG4hjXgaEi51pBUcop8Gw&amp;s=1"" target=""_blank"" rel=""noopener"">www.agendahorarios.com.br/Portal</a>","(38) 3676-6701","(38) 99961-8761","(38) 99961-8761","Av. Vereador João Narciso, 377 - Unaí - MG",,,"a:2:{i:0;a:2:{s:7:""network"";s:9:""Instagram"";s:3:""url"";s:38:""https://www.instagram.com/sport_forma/"";}i:1;a:2:{s:7:""network"";s:8:""Facebook"";s:3:""url"";s:36:""https://www.facebook.com/sportforma/"";}}",,https://instagram.com/sportforma,,"a:1:{i:0;s:82:""https://www.guiaunai.com.br/wp-content/uploads/2021/08/empresa_sportforma_logo.png"";}",,"a:12:{i:0;s:85:""https://www.guiaunai.com.br/wp-content/uploads/2021/08/empresa_sportforma_fachada.jpg"";i:1;s:85:""https://www.guiaunai.com.br/wp-content/uploads/2021/08/empresa_sportforma_fotos-2.jpg"";i:2;s:86:""https://www.guiaunai.com.br/wp-content/uploads/2021/08/empresa_sportforma_fotos-21.jpg"";i:3;s:86:""https://www.guiaunai.com.br/wp-content/uploads/2021/08/empresa_sportforma_fotos-26.jpg"";i:4;s:86:""https://www.guiaunai.com.br/wp-content/uploads/2021/08/empresa_sportforma_fotos-34.jpg"";i:5;s:86:""https://www.guiaunai.com.br/wp-content/uploads/2021/08/empresa_sportforma_fotos-23.jpg"";i:6;s:86:""https://www.guiaunai.com.br/wp-content/uploads/2021/08/empresa_sportforma_fotos-25.jpg"";i:7;s:86:""https://www.guiaunai.com.br/wp-content/uploads/2021/08/empresa_sportforma_fotos-48.jpg"";i:8;s:86:""https://www.guiaunai.com.br/wp-content/uploads/2021/08/empresa_sportforma_fotos-51.jpg"";i:9;s:86:""https://www.guiaunai.com.br/wp-content/uploads/2021/08/empresa_sportforma_fotos-53.jpg"";i:10;s:85:""https://www.guiaunai.com.br/wp-content/uploads/2021/08/empresa_sportforma_fotos-4.jpg"";i:11;s:86:""https://www.guiaunai.com.br/wp-content/uploads/2021/08/empresa_sportforma_fotos-19.jpg"";}","a:1:{i:0;s:85:""https://www.guiaunai.com.br/wp-content/uploads/2021/08/empresa_sportforma_fachada.png"";}",,,"😃💪🏽Aquela força a mais pra você manter a imunidade em alta e por um preço de amigos!

Agende seu treino on-line clicando aqui 👇:

<a href=""https://l.instagram.com/?u=http%3A%2F%2Fwww.agendahorarios.com.br%2FPortal&amp;e=ATPgY0UWFszGyx9JjA9cV7EdwKGby4VAbQzpCx0abyjmS-dSuRX_lNDuRoPhdqlzKOG4hjXgaEi51pBUcop8Gw&amp;s=1"" target=""_blank"" rel=""noopener"">www.agendahorarios.com.br/Portal</a>","Academia Sport Forma",job_listing,academia|academias|aeróbica|Crossfit|mma|musculação|spinning|treinamento,"Av. Vereador João Narciso, 377 - Unaí - MG",,2
461,place,"Super Latas","<p>
	A <span>Odebrecht</span> atua como prestadora de servi&ccedil;os para a ind&uacute;stria de petr&oacute;leo brasileira desde a d&eacute;cada de 50",,,,,,,"a:2:{i:0;a:2:{s:7:""network"";s:8:""Facebook"";s:3:""url"";s:165:""com foco na presta&ccedil;&atilde;o de servi&ccedil;os e opera&ccedil;&atilde;o de <span data-scayt_word=""FPSO"" data-scaytid=""3"">FPSO</span> para novos Clientes.</p>"";}i:1;a:2:{s:7:""network"";s:7:""Website"";s:3:""url"";s:24:""incluindo o Mar do Norte"";}}",,"incluindo o Mar do Norte",,a:0:{},,a:0:{},a:0:{},,,"<p>
	A <span>Odebrecht</span> atua como prestadora de servi&ccedil;os para a ind&uacute;stria de petr&oacute;leo brasileira desde a d&eacute;cada de 50","Super Latas",job_listing,pecas|veiculos,,,
463,place,"a Odebrecht concentrou seus investimentos em petr&oacute;leo e g&aacute;s em uma nova empresa",,,,,,,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,,,"a Odebrecht concentrou seus investimentos em petr&oacute;leo e g&aacute;s em uma nova empresa",job_listing,,,,
464,place,"desde a concep&ccedil;&atilde;o de engenharia","Excel&ecirc;ncia Empresarial e Sustentabilidade.</p>",,,,,,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,,"Excel&ecirc;ncia Empresarial e Sustentabilidade.</p>","desde a concep&ccedil;&atilde;o de engenharia",job_listing,&aacute;guas|Acionistas|Clientes|Com|cria&ccedil;&atilde;o|de|desafios|e|foco|incluindo|novos|os|para|pr&eacute;-sal.|profundas|valor,,,
465,place,"0000-00-00 00:00:00",,,,,,,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,,,"0000-00-00 00:00:00",job_listing,,,,
466,place,"Vanessa Ribeiro - Personal","<strong>Vanessa Ribeiro | Personal</strong>
Personal Trainer
Otimizo seu tempo e energia, treinando CORPO e MENTE para que vc tenha resultados RÁPIDOS e DURADOUROS🎯
🌎 Presencial e Online
<a href=""http://linktr.ee/Vanessa.Personal"" target=""_blank"" rel=""noopener"">linktr.ee/Vanessa.Personal</a>","(38) 99942-6892","(38) 99942-6892",,"Avenida Vereador João Narciso, 355 - Cachoeira - Unaí - MG",,,"a:1:{i:0;a:2:{s:7:""network"";s:9:""Instagram"";s:3:""url"";s:41:""https://www.instagram.com/vanessapersonal"";}}",,,,"a:1:{i:0;s:85:""https://guiaunai.com.br/wp-content/uploads/2021/08/empresas-vanessa-personal-logo.jpg"";}",,a:0:{},a:0:{},,,"<strong>Vanessa Ribeiro | Personal</strong>
Personal Trainer
Otimizo seu tempo e energia, treinando CORPO e MENTE para que vc tenha resultados RÁPIDOS e DURADOUROS🎯
🌎 Presencial e Online
<a href=""http://linktr.ee/Vanessa.Personal"" target=""_blank"" rel=""noopener"">linktr.ee/Vanessa.Personal</a>","Vanessa Ribeiro - Personal",job_listing,esporte|estética|personal|trainer,"Avenida Vereador João Narciso, 355 - Cachoeira - Unaí - MG",,1
467,place,"Acitrânsito Seguros DPVAT",,,,,"Rua Professor Olímpio Gonzaga, 409 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,,,"Acitrânsito Seguros DPVAT",job_listing,automóveis,"Rua Professor Olímpio Gonzaga, 409 - Unaí - MG",,
468,place,"Açougue Campeão",,,,,"Rua Matias Nunes Souza, 260 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,,,"Açougue Campeão",job_listing,açougues|carnes|casa|de,"Rua Matias Nunes Souza, 260 - Unaí - MG",,
469,place,"Açougue Divino",,,,,"Rua Dulce Torres Brochado, 1132 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,,,"Açougue Divino",job_listing,,"Rua Dulce Torres Brochado, 1132 - Unaí - MG",,
470,place,"Açougue do Felício",,,,,"Rua Jarbas O Souto, 415 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,,,"Açougue do Felício",job_listing,açougues|carnes|casa|de,"Rua Jarbas O Souto, 415 - Unaí - MG",,
471,place,"Implannor - Implantes Dentários Noroeste de Minas","<p>
	A <span>Implannor</span> - Implantes Dent&aacute;rios Noroeste de Minas tem como miss&atilde;o institucional nortear a <span data-scayt_word=""satisfacão"" data-scaytid=""2"">satisfac&atilde;o</span> plena de seus clientes",,,,,,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,,"<p>
	A <span>Implannor</span> - Implantes Dent&aacute;rios Noroeste de Minas tem como miss&atilde;o institucional nortear a <span data-scayt_word=""satisfacão"" data-scaytid=""2"">satisfac&atilde;o</span> plena de seus clientes","Implannor - Implantes Dentários Noroeste de Minas",job_listing,dentista|dentistas|implante|implantes,,,
472,place,cirurgia,,,,,,,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,,,cirurgia,job_listing,,,,
473,place,"propriet&aacute;rio da Implannor",,,,,,,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,,,"propriet&aacute;rio da Implannor",job_listing,Bras&iacute;lia.|e|Paulo|S&atilde;o,,,
474,place,,,,,,,,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,,,,job_listing,,,,
475,place,,,,,,,,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,,,,job_listing,,,,
476,place,"com muita satisfa&ccedil;&atilde;o",,,,,,,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,,,"com muita satisfa&ccedil;&atilde;o",job_listing,,,,
477,place,,,,,,,,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,,,,job_listing,,,,
478,place,"Dr. Juliano Carlos de Oliveira",,,,,,,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,,,"Dr. Juliano Carlos de Oliveira",job_listing,,,,
479,place,,,,,,,,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,,,,job_listing,,,,
480,place,"pr&oacute;tese sobre implante",,,,,,,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,,,"pr&oacute;tese sobre implante",job_listing,,,,
481,place,,,,,,,,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,,,,job_listing,,,,
482,place,,,,,,,,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,,,,job_listing,,,,
483,place,,,,,,,,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,,,,job_listing,,,,
484,place,"2015-02-05 00:00:00",NULL,492,,"(38) Rua -João Pi",,,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,,NULL,"2015-02-05 00:00:00",job_listing,,,,
485,place,"Casa de Carnes Tomáz",,"(38) 3676-5845",,"(38) 99965-5793","Rua Lígia Versiane, 06 - Novo Horizonte - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,,,"Casa de Carnes Tomáz",job_listing,acougue|açougues,"Rua Lígia Versiane, 06 - Novo Horizonte - Unaí - MG",,
486,place,"A &amp; C Luxor",,"(38) 3676-3913",,,"Rua Celina Lisboa Frederico, 254 - Centro - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,,,"A &amp; C Luxor",job_listing,boutique|boutiques|loja|lojas|roupa|roupas,"Rua Celina Lisboa Frederico, 254 - Centro - Unaí - MG",,
487,place,"A Pioneira Tecidos",,"(38) 3676-5739",,,"Avenida Governador Valadares, 872 - Centro - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,,,"A Pioneira Tecidos",job_listing,roupa|roupas|tecido,"Avenida Governador Valadares, 872 - Centro - Unaí - MG",,
488,place,"ABR Advogados",,"(38) 3676-5731",,,"Rua Djalma Torres, 251 - Centro - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,,,"ABR Advogados",job_listing,advocacia|advocacias|advogado,"Rua Djalma Torres, 251 - Centro - Unaí - MG",,
489,place,"Casa de Carnes Santo Antônio",,"(38) 3676-7742",,,"Avenida José Luiz Adjuto, 719 - Centro - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,,,"Casa de Carnes Santo Antônio",job_listing,acougue|açougues,"Avenida José Luiz Adjuto, 719 - Centro - Unaí - MG",,
490,place,"Academia Kankusho",,"(38) 3676-1367",,,"Rua Afonso Pena, 71 - Centro - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,,,"Academia Kankusho",job_listing,academias,"Rua Afonso Pena, 71 - Centro - Unaí - MG",,
491,place,"Sorveteria Moranguinhos",,"(38) 3676-5000",,,"Rua Calixto Martins de Melo, 167 - Centro - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,,,"Sorveteria Moranguinhos",job_listing,acai|sorveterias|sorvetes,"Rua Calixto Martins de Melo, 167 - Centro - Unaí - MG",,
492,place,"Sorveteria Moranguinhos",,"(38) 3676-7433",,,"Avenida Governador Valadares, 704 - Centro - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,,,"Sorveteria Moranguinhos",job_listing,acai|sorveterias|sovetes,"Avenida Governador Valadares, 704 - Centro - Unaí - MG",,
493,place,"Sorveteria Moranguinhos",,"(38) 3676-7978",,,"Rua São José, 169 - Centro - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,,,"Sorveteria Moranguinhos",job_listing,acai|sorveterias|sorvetes,"Rua São José, 169 - Centro - Unaí - MG",,
494,place,"Acervo Telhas",,"(38) 3676-7757",,"(38) 99749-8665","Avenida Cabo Verde, 196 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,,,"Acervo Telhas",job_listing,construcao|contrucao|material|materias,"Avenida Cabo Verde, 196 - Unaí - MG",,
495,place,"Açougue Bifão Carnes",,"(38) 3676-5208",,,"Rua Juvêncio Correio, 433 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,,,"Açougue Bifão Carnes",job_listing,acougue|açougues|carnes|casa|de,"Rua Juvêncio Correio, 433 - Unaí - MG",,
496,place,"Açougue Boi na Brasa",,"(38) 3676-3916",,,"Avenida Governador Valadares, 135 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,,,"Açougue Boi na Brasa",job_listing,acougue|açougues|carnes|casa|de,"Avenida Governador Valadares, 135 - Unaí - MG",,
497,place,"Açougue Bom Corte",,"(38) 3677-2939",,,"Rua Carambolas, 175 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,,,"Açougue Bom Corte",job_listing,acougue|açougues|carnes|casa|de,"Rua Carambolas, 175 - Unaí - MG",,
498,place,"Casa de Carnes Martins",,"(38) 3676-1495",,,"Avenida Governador Valadares, 1358 - Centro - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,,,"Casa de Carnes Martins",job_listing,acougue|açougues,"Avenida Governador Valadares, 1358 - Centro - Unaí - MG",,
499,place,"Casa de Carnes Modelo",,"(38) 3676-1244",,,"Avenida Governador Valadares, 361 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,,,"Casa de Carnes Modelo",job_listing,acougue|açougues,"Avenida Governador Valadares, 361 - Unaí - MG",,
500,place,"Casa de Carnes Noroeste",,"(38) 3677-4528",,,"Rua Celina Lisboa Frederico, 1699 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,,,"Casa de Carnes Noroeste",job_listing,acougue|açougues,"Rua Celina Lisboa Frederico, 1699 - Unaí - MG",,
501,place,"Casa de Carnes União",,"(38) 3676-8837",,,"Avenida Governador Valadares, 453 - Centro - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,,,"Casa de Carnes União",job_listing,acougue|açougues,"Avenida Governador Valadares, 453 - Centro - Unaí - MG",,
502,place,"Açougue do Jarbas",,"(38) 3676-1655",,,"Rua Celina Lisboa Frederico, 959 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,,,"Açougue do Jarbas",job_listing,açougues|carnes|casa|de,"Rua Celina Lisboa Frederico, 959 - Unaí - MG",,
503,place,"Açougue do Itamar",,"(38) 3676-5960",,,"Rua Celina Lisboa Frederico, 1472 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,,,"Açougue do Itamar",job_listing,açougues|carnes|casa|de,"Rua Celina Lisboa Frederico, 1472 - Unaí - MG",,
504,place,"Açougue do Luiz",,"(38) 3676-7451",,,"Avenida Otávio Araújo, 370 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,,,"Açougue do Luiz",job_listing,açougues|carnes|casa|de,"Avenida Otávio Araújo, 370 - Unaí - MG",,
505,place,"Açougue do Rosivaldo",,"(38) 3676-5493",,,"Rua Júlio Ribeiro Santos, 540 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,,,"Açougue do Rosivaldo",job_listing,açougues|carnes|casa|de,"Rua Júlio Ribeiro Santos, 540 - Unaí - MG",,
506,place,"Casa de Carnes 2 Irmãos",,"(38) 3676-7149",,,"Avenida José Luiz Adjuto, 1012 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,,,"Casa de Carnes 2 Irmãos",job_listing,acougue|açougues|carnes|casa|de,"Avenida José Luiz Adjuto, 1012 - Unaí - MG",,
507,place,"Casa de Carnes Perez",,"(38) 3676-6318",,,"Rua Serra, 572 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,,,"Casa de Carnes Perez",job_listing,acougue|açougues,"Rua Serra, 572 - Unaí - MG",,
508,place,"Casa de Carnes Santa Luzia",,"(38) 3676-2523",,,"Rua Djalma Torres, 1109 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,,,"Casa de Carnes Santa Luzia",job_listing,acougue|açougues,"Rua Djalma Torres, 1109 - Unaí - MG",,
509,place,"Açougue e Mercearia Costa",,"(38) 3676-4980",,,"Avenida Pau Brasil, 226 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,,,"Açougue e Mercearia Costa",job_listing,açougues|carnes|casa|de,"Avenida Pau Brasil, 226 - Unaí - MG",,
510,place,"Açougue Faria",,"(38) 3676-5780",,,"Rua Roncador, 699 - Centro - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,,,"Açougue Faria",job_listing,açougues|carnes|casa|de,"Rua Roncador, 699 - Centro - Unaí - MG",,
511,place,"Açougue Nacional",,"(38) 3677-2610",,,"Avenida Governador Valadares, 2299 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,,,"Açougue Nacional",job_listing,açougues|carnes|casa|de,"Avenida Governador Valadares, 2299 - Unaí - MG",,
512,place,"Açougue Papagaio",,"(38) 3676-2448",,,"Rua Prefeito João Costa, 289 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,,,"Açougue Papagaio",job_listing,açougues|carnes|casa|de,"Rua Prefeito João Costa, 289 - Unaí - MG",,
513,place,"Açougue Rodrigues",,"(38) 3676-7066",,,"Avenida Castelo Branco, 165 - Centro - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,,,"Açougue Rodrigues",job_listing,açougues|carnes|casa|de,"Avenida Castelo Branco, 165 - Centro - Unaí - MG",,
514,place,"Acougue Sertaneja",,"(38) 3676-3012",,,"Rua Djalma Torres, 1243 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,,,"Acougue Sertaneja",job_listing,açougues|carnes|casa|de,"Rua Djalma Torres, 1243 - Unaí - MG",,
515,place,"Açougue Teixeira",,"(38) 3676-5493",,,"Rua Júlio Ribeiro Santos, 540 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,,,"Açougue Teixeira",job_listing,açougues|carnes|casa|de,"Rua Júlio Ribeiro Santos, 540 - Unaí - MG",,
516,place,"Açougue Terra de Minas",,"(38) 3676-0110",,,"Rua Francisco R. da Silva, 427 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,,,"Açougue Terra de Minas",job_listing,açougues|carnes|casa|de,"Rua Francisco R. da Silva, 427 - Unaí - MG",,
517,place,"Açougue União",,"(38) 3676-8145",,,"Rua Matias Nunes Souza, 270 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,,,"Açougue União",job_listing,açougues|carnes|casa|de,"Rua Matias Nunes Souza, 270 - Unaí - MG",,
518,place,"Ada Unaí On Line",,"(38) 3676-3550",,"(38) 3676-7381","Rua Djalma Torres, 337 - Centro - Unaí - MG",,,"a:1:{i:0;a:2:{s:7:""network"";s:7:""Website"";s:3:""url"";s:26:""http://www.adaunai.com.br/"";}}",,http://www.adaunai.com.br/,,a:0:{},,a:0:{},a:0:{},,,,"Ada Unaí On Line",job_listing,"internet|internet a cabo|internet a radio|internet banda larga|internet fibra otica|provedor|provedores","Rua Djalma Torres, 337 - Centro - Unaí - MG",,0
519,place,"ACP Corretora de Cereais e Transportes",,"(38) 3676-3155",,,"Rua Antônio Brochado, 174 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,,,"ACP Corretora de Cereais e Transportes",job_listing,transportadora,"Rua Antônio Brochado, 174 - Unaí - MG",,
520,place,"OGP Gráfica e Editora",,"(38) 3676-1677",,"(38) 3676-1593","Avenida Governador Valadares, 748 - Centro - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,,,"OGP Gráfica e Editora",job_listing,adesivos|graficas,"Avenida Governador Valadares, 748 - Centro - Unaí - MG",,
521,place,"ADS Contabilidade",,"(38) 3676-8002",,"(38) 3676-4710","Avenida José Luiz Adjuto, 378 - Unaí - MG",,,a:0:{},,,,a:0:{},,a:0:{},a:0:{},,,,"ADS Contabilidade",job_listing,contabilidades|contador,"Avenida José Luiz Adjuto, 378 - Unaí - MG",,
