Title,endereco,fone,whatsapp,instagram,site
"Mania de Voar Viagens e Turismo","Rua Djalma Torres, 319 - Centro - Unaí - MG","(38) 3676-2001",,,www.maniadevoar.tur.br
"Agitus Calçados","Avenida Governador Valadares, 851 - Unaí - MG","(38) 3676-1743",,,
"AGP Auto Elétrica","Rodovia Br 251, 21 KM 872 - Unaí - MG","(38) 3676-5133",,,
"AGP Financeira","Avenida Governador Valadares, 745 - Unaí - MG","(38) 3676-9555",,,
"Agrícola Decisão Ltda","Rua Celina Lisboa Frederico, 111 - Unaí - MG","(38) 3676-4998",,,
"Agrícola Xingú","Rodovia Mg 028, 8 KM 3 - Unaí - MG","(38) 3676-7575",,,
"Agripeças Peças e Serviços e Máquinas Agrícolas","Rua Juvêncio Correio, 493 - Unaí - MG","(38) 3676-3313",,,
"Agripel Máquinas e Peças Agrícolas - Peças de Pulverização","Avenida Castelo Branco, 451 - Unaí - MG","(38) 3676-9900",,,
"Agro Torno","Rua Paracatu, 12 - Unaí - MG","(38) 3676-9597",,,
"Agrocampo Peças Agrícolas e Serviços","Rodovia Br 251, Lateral A - Unaí - MG","(38) 3676-8332",,,
"Agroquima Produtos Agropecuários","Avenida Castelo Branco, 677 - Unaí - MG","(38) 3676-2555",,,
"Agromais - Parceira que rende","R. Maria Rezende Santana, 1059 - Terra Nova - Unaí, MG","(38) 3676-4154",,https://www.instagram.com/agromaisunai,https://www.instagram.com/agromaisunai
Agromáquinas,"Rua Juvêncio Correio, 499 - Unaí - MG","(38) 3676-9720",,,
Agropantaleão,"Praça Getúlio Vargas, 179 - Unaí - MG","(38) 3677-1972",,,
"Agropaulista Comercial Agrícola","Rua Joaquim Brochado, 91 - Unaí - MG","(38) 3676-6063",,,http://agropaulistaunai.com.br/index.php
"Agropecuária Brasil","Avenida Governador Valadares, 527 - Unaí - MG","(38) 3676-6697",,,
"Agropecuária Caxambú","Rod Mg 188, 500 - Unaí - MG","(38) 3677-1919","(38) 99889-7200",https://instagram.com/agropecuariacaxambu,https://instagram.com/agropecuariacaxambu
"Mundo Agropecuário","Avenida Governador Valadares, 116 - Unaí - MG","(38) 3677-4331",,,
"Agropecuária Tapirai","Faz CampinasUnaí - MG","(38) 3676-9277",,,
"Água de Cheiro","Rua Celina Lisboa Frederico, 24 - Unaí - MG","(38) 3676-5074",,,
"Água e Gás Eletrogás","Rua Roncador, 897 - Unaí - MG","(38) 3676-5520",,,
"Ok Gas e Água Mineral","Rua Prefeito João Costa, 840 - Unaí - MG","(38) 3677-4555",,,
"Água Mineral Santa Clara","Rua Cachoeira, 391 B - Unaí - MG","(38) 3677-7050",,,
"Águia Inovação em Segurança","Rua Pardais, 594 - Unaí - MG","(38) 99932-8006",,,
"Águia Lava Jato","Rua Canabrava, 481 - Unaí - MG","(38) 3676-1237",,,
"Semelc Alarmes e Monitoramento","Rua Nossa Senhora do Carmo, 352 - Unaí - MG","(38) 3676-5677",,,
Agrocerrado,"Rua Diamantes, 309 - Unaí - MG","(38) 3677-2041",,,
"Fábrica de Biscoitos Mascarenhas","Rua das Hortências, 45 A - Unaí - MG","(38) 3676-5225",,,
"Fábrica de Banha Rio Preto","Rua Gerson Rodrigues Gondim, 255 - Unaí - MG","(38) 3676-3323",,,
"Fábrica de Lingerie La Femme","Rua Prefeito João Costa, 230 - Unaí - MG","(38) 3676-4754",,,
"Fábrica de Telas Unaí","Rua Virgílio Justiniano Ribeiro, 1354 - Unaí - MG","(38) 3676-5450",,,
"Faceburg Lanches","Rua Flores, 330 - Unaí - MG","(38) 3676-9542",,,
"FACTU - Faculdade de Ciências e Tecnologia de Unaí","Rua Rio Preto, 422 - Centro - Unaí, MG","(38) 3676-6222",,https://www.instagram.com/factuunai/,https://factu.br
"Farmácias de Plantão em Unaí, MG","Unaí - MG","(38) 3493-0458",,,
"Farmácia Abaeté - Drogarias Minas Master","Av. Governador Valadares, 1176 - Centro - Unaí, MG","(38) 3676-1515","(38) 99906-1515",https://instagram.com/farmaciaabaete,
"Farmácia Canaan","Av. Governador Valadares, 956 - Centro - Unaí, MG","(38) 3676-7900","(38) 8822-7151",https://www.instagram.com/farmaciascanaan,
"Farmácia Campos","Avenida Governador Valadares, 751 - Unaí - MG","(38) 3676-1973",,,
"Drogaria Noroeste","Avenida Governador Valadares, 1140 - Unaí, MG","(38) 99952-0123","(38) 99952-0123",,
"Farmácia Drogamelo","Avenida José Luiz Adjuto, 288 - Centro - Unaí - MG","(38) 3676-1557",,,
"Drogaria Central","Avenida Governador Valadares, 1861 - Unaí - MG","(38) 3676-3961",,,
"Farmácia Colatto","Rua São José, 768 - Unaí - MG","(38) 3676-7002","(38) 99826-9950",https://www.instagram.com/farmaciacolatto,
"Drogaria Cristo Rei","Avenida Governador Valadares, 1478 - Unaí - MG","(38) 3676-1620",,,
"Drogaria Drogafácil","Avenida José Luiz Adjuto, 248 - Unaí - MG","(38) 3676-2477",,,
"Drogaria Família Econômica","Avenida Governador Valadares, 632 - Unaí - MG","(38) 3677-4050",,,
"Drogaria Ideal","Avenida Castelo Branco, 34 - Unaí - MG","(38) 3676-7018",,,
"Farmácia Drogavida","Rua Matias Nunes Souza, 203 - Unaí - MG","(38) 3676-5060",,,
"Drogaria Mais Saúde","Rua Maria Galdina, 270 - Unaí - MG","(38) 3676-3350",,,
"Drogaria Nacional","Praça São Cristóvão, 273 - Unaí - MG","(38) 3676-6050",,,
"Farmácia de Manipulação Naturalis","Rua Djalma Torres, 333 sl 01 - Unaí - MG","(38) 3676-8687",,,
"Farmácia Nossa Senhora das Graças","Rua Afrânio Gonzaga, 10 - Unaí - MG","(38) 3676-1245",,,
"Pharma Flora","Rua Djalma Torres, 436 - Unaí - MG","(38) 3676-5970","(38) 99813-9401",https://www.instagram.com/pharmafloraunai,
"Farmácia Rio Preto","Avenida José Luiz Adjuto, 246 - Unaí - MG","(38) 3676-1364",,,
"Farmácia Unaí","Avenida Governador Valadares, 1012 - Unaí - MG","(38) 3676-1211",,,
"Fartura Atacadista","Rua Gilberto Medeiros, 275 - Unaí - MG","(38) 3676-9748",,,
"Fartura Gás e Água","Rua Jambos, 385 - Unaí - MG","(38) 3676-7330",,,
"Fashion Modas","Rua Aldeia, 322 - Centro - Unaí - MG","(38) 3676-5081",,,
"FATEE - Faculdade Teologia Eliada","Avenida Santos Dumont, 431 - Unaí - MG","(38) 3677-2411",,,
"Fazenda Catingueiro Dirceu Rodighero",,"(38) 3505-4262",,,
"Fazenda Bela Vista Massaru Hachiya","Rua Djalma Torres, 251 - Unaí - MG","(38) 3676-9837",,,
"Fazenda Canto","Rua Nossa Senhora do Carmo, 224 - Unaí - MG","(38) 3676-2047",,,
"Fazenda Engenho",,"(38) 3505-0279",,,
"Fazenda Estrela",,"(38) 3505-0451",,,
"Fazenda Fala Verdade Valdemar Bernardes Faria",,"(38) 3505-2897",,,
"Fazenda Guaribas",,"(38) 3505-1160",,,
"Fazenda Guaribas",,"(38) 3505-1160",,,
"Fazenda Paraíso da Chapada - Escritório","Rua Natal Justino da Costa, 904 - Unaí - MG","(38) 3676-6285",,,
"Pedras Agropecuária","Rua Gerson Rodrigues Gondim, 519 - Unaí - MG","(38) 3676-2554",,,
"Fazenda Prata",,"(38) 3505-0603",,,
"Fazenda Quatro Estações",,"(38) 3505-0708",,,
"Fazenda Rio Preto",,"(38) 3505-0110",,,
"Fazenda São José","Rua Djalma Torres, 251 - Unaí - MG","(38) 3676-6016",,,
"Fazenda São Miguel",,"(38) 3505-6666",,,
"Fazenda Taquaril",,"(38) 3505-3331",,,
"Fazenda Terra Nova",,"(38) 3505-0096",,,
"Fazenda Trombas","Avenida Castelo Branco, 621 - Unaí - MG","(38) 3676-3499",,,
"Fazenda W Egido",,"(38) 3676-7610",,,
Fecap,"Rua Prefeito João Costa, 972 - Unaí - MG","(38) 3676-3108",,,
"Fazenda Primavera","Rua Sabará, 153 - Unaí - MG","(38) 3676-8000",,,
"Federal Motos -  Concessionária Yamaha","Rua Celina Lisboa Frederico, 353 - Unaí - MG","(38) 3677-5060",,,
"Feijão Agrominas","Rua Virgílio Justiniano Ribeiro, 111F - Unaí - MG","(38) 3676-8175",,,
"Felipe C de Almeida Consultório Odontológico","Rua São José, 322 - Unaí - MG","(38) 3676-4821",,,
Femagril,"Rodovia Br 251, km 02 2009 - Unaí - MG","(38) 3676-6424",,,
"Fenix Limpeza Urbana","Rod Mg 188, 200 - Unaí - MG","(38) 3676-6800",,,
"Fera Gás","Rua Roncador, 418 - Unaí - MG","(38) 3676-2622",,,
"Ferragens Araújo","Rua Frei Estevão, 75 - Unaí - MG","(38) 3676-9730",,,
"Mundial Ferragens","Avenida São João, 362 - Divinéia - Unaí - MG","(38) 99968-8504","(38) 9868-8504",https://www.instagram.com/mundialferragens_,
"Rei do Ferro","Av. Governador Valadares, 1717 - Unaí, MG","(38) 3676-5258","(38) 3676-5258",https://instagram.com/reidoferro,
"Ferraria - Serralheria do Anacleto","Rodovia Br 251, km 873 nº 480 - Unaí - MG","(38) 3676-1280",,,
"Ferro Velho Alta Rotação","Rua José do Patrocínio, 94 - Unaí - MG","(38) 3676-4959",,,
"Ferro Velho Comando","Rua Virgílio Justiniano Ribeiro, 1337 - Unaí - MG","(38) 3676-3152",,,
Ferrominas,"Rod Mg 188, 37 - Unaí - MG","(38) 3676-1116",,,
"Arca de Noé Festas Infantis","Rua Celina Lisboa Frederico, 382 - Unaí - MG","(38) 3676-0103",,,
"Império das Festas","Rua Nossa Senhora do Carmo, 382 - Unaí - MG","(38) 3676-3299",,,
"Leila Festas","Rua Geraldo F Santos, 380 - Unaí - MG","(38) 3677-3776",,,
"Neuzinha Festas","Rua Celina Lisboa Frederico, 1046 - Unaí - MG","(38) 99951-7923",,,
Lubrizabel,"Rua Virgílio Justiniano Ribeiro, 256 - Unaí - MG","(38) 3676-8667",,,
"Shopping dos Filtros","Rua São José, 760 - Unaí - MG","(38) 3676-1353",,,
Finaseg,"Rua Celina Lisboa Frederico, 175 - Unaí - MG","(38) 3677-4468",,,
"Filhos da Misericórdia Artigos Religiosos","Rua José do Patrocínio, 329 - Unaí - MG","(38) 3676-0811",,,
"Fio a Fio","Rua Aldeia, 322 - Unaí - MG","(38) 3676-9003",,,
"Flexa Radiadores","Rua Alba Gonzaga, 641 - Centro - Unaí - MG","(38) 3676-2186",,,
"Floricultura Art Flora","Rua Afonso Pena, 466 - Unaí - MG","(38) 3676-2374",,,
"Celebrar Eventos e Floricultura","Avenida Governador Valadares, 555 - Unaí - MG","(38) 3676-3701",,,
"Floricultura Flor do Campo","Rua Nossa Senhora do Carmo, 242 - Unaí - MG","(38) 3676-1962",,,
"Shekiná Floricultura","Rua Alba Gonzaga, 823 - Unaí - MG","(38) 3676-7468",,,
"FM Motos e Fitness","Rua Alba Gonzaga, 484 - Unaí - MG","(38) 3676-4297",,,
"Foco Veículos","Avenida Castelo Branco, 777 - Unaí - MG","(38) 3676-5010","(38) 99960-5010",https://www.instagram.com/focoveiculosunai,https://www.focounai.com.br
"Focus Fotografias","Rua Aldeia, 673 - Centro - Unaí - MG","(38) 3676-5868",,,
"Fontana Hotel","Avenida Governador Valadares, 1270 - Centro - Unaí - MG","(38) 3676-1215",,,
"Formato Design - Maquetes Eletrônicas e Móveis Planejados","Rua Djalma Torres, 271 - Unaí - MG","(38) 3676-0555",,,
"Vainaci Eventos","Rua Nossa Senhora do Carmo, 111 - Unaí - MG","(38) 3676-2333",,,www.vainacieventos.com.br/
"Sementes Nelore","Rua Gerson Rodrigues Gondim, 519 - Unaí - MG","(38) 3676-4442",,,www.sementesnelore.com.br
"Center Gesso e Forro PVC","Avenida Campos dos Jordão, 137 - Unaí - MG","(38) 99984-9256",,,
"Forro PVC Alison","Rua Santa Rita, 69 - Unaí - MG","(38) 99155-0505",,,
"Líder Forros PVC","Rua Presidente Bernardes, 658 - Centro - Unaí - MG","(38) 3676-1414",,,
"Forro de PVC Araújo","Avenida Governador Valadares, 297 - Unaí - MG","(38) 3677-1910",,,
"Forro PVC do Adão","Rua Júlio Ribeiro Santos, 252 - Unaí - MG","(38) 3676-2968",,,
"Forro PVC Délio","Rua Canabrava, 875 - Unaí - MG","(38) 3676-0775",,,
"Fort Card","Avenida Governador Valadares, 940 - Unaí - MG","(38) 3676-6696",,,
"Forum Professor Raimundo Candido","Rua Virgílio Justiniano Ribeiro, 555 - Unaí - MG","(38) 3676-2126",,,
"Foto Baroni","Rua Celina Lisboa Frederico, 22 - Unaí - MG","(38) 3676-4255",,,
"Foto Diniz","Rua Canabrava, 92 - Centro - Unaí - MG","(38) 3676-2541","(38) 99116-8206",,
"Mary Fotografias","Avenida José Luiz Adjuto, 100 - Unaí - MG","(38) 3676-3467",,,
"Foto Olympus","Rua Nossa Senhora do Carmo, 289 - Centro - Unaí - MG","(38) 3676-2869",,,
"Solmar Fotografias","Avenida Governador Valadares, 2402 - Unaí - MG","(38) 3676-4397",,,
"Fran Peres Boutique","Rua Nossa Senhora do Carmo, 295 - Unaí - MG","(38) 3676-6264",,,
"Franchiari Boutique","Rua Nossa Senhora do Carmo, 44 - Centro - Unaí - MG","(38) 3676-5007",,,
"Frango Aliança","Rua Canabrava, 205 - Centro - Unaí - MG","(38) 3676-3101",,,
"Casa do Frango Assado","Rua Natal Justino da Costa, 561 - Unaí - MG","(38) 3676-4151",(38)99953-2063,https://www.instagram.com/casadofrangoassadounai,
"Fraternidade Feminina Mestres Rio Preto","Rua Nossa Senhora do Carmo, 349 - Unaí - MG","(38) 3676-7143",,,
"Freedom Honda - Concessionária Honda","Rua Celina Lisboa Frederico, 32 - Unaí - MG","(38) 3676-7712",,,
Fricarmo,"Rua Eli Pinto de Carvalho, 787 - Unaí - MG","(38) 3676-7582",,,
"Friolar Refrigeração","Rua Virgílio Justiniano Ribeiro, 304 A - Unaí - MG","(38) 3676-3466",,,
"Frutal Alimentos","Rua Zaida Torres, 101 - Unaí - MG","(38) 3676-9292",,,
"Frutaria Rodrigues","Avenida Governador Valadares, 1246 - Unaí - MG","(38) 3676-3685",,,
"FT Sementes","Avenida José Luiz Adjuto, 650 - Unaí - MG","(38) 3676-7969",,,
"Funerária Bom Jesus","Rua Paracatu, 194 C - Unaí - MG","(38) 3676-4409",,,
"Funerária Bom Pastor","Rua Virgílio Justiniano Ribeiro, 1642 - Unaí - MG","(38) 3676-1322",,,
"Funerária Mundial Pax","Rua Nossa Senhora do Carmo, 332 - Unaí - MG","(38) 3676-4845",,,
"Futura Tecnologia em Cursos","Rua São José, 161 - Unaí - MG","(38) 3676-4988",,,
"Disk Caçamba - Loc Máquinas","Rua Aldeia, 1143 - Unaí - MG","(38) 3676-5203",,,
"Cacau Show","Rua São José, 5 - Centro - Unaí - MG","(38) 3676-1501",,,
"Caê Produções","Rua Canabrava, 185 - Unaí - MG","(38) 3676-6509",,,
"Café Unaí","Rua Rio Preto, 327 - Unaí - MG","(38) 3676-2751",,https://instagram.com/cafeunai/,http://www.cafeunai.com.br
"Caixa Econômica Federal","Rua Professor Olímpio Gonzaga, 288 - Unaí - MG","(38) 2102-2250",,,
"Calana Pisos","R. Aldeia, 3 - Centro, Unaí - MG","(38) 3677-4596","(38) 99125-0930",https://www.instagram.com/calanapisos,
"Calce Charm","Avenida Governador Valadares, 920 - Unaí - MG","(38) 3676-9623",,,
"Camac Cimento e Materiais de Construção","R. Joaquim Brochado, 101 - Jacilândia, Unaí - MG","(38) 3676-1098","(38) 3676-1098",https://www.instagram.com/camaccimento,
"Câmara Municipal de Unaí","Avenida José Luiz Adjuto, 117 - Unaí - MG","(38) 3676-1477",,,www.unai.mg.leg.br/
"Camil Alimentos","Rua Porangatú, 20 - Unaí - MG","(38) 3676-1366",,,
"Camilo Transportes","Rua Natal Justino da Costa, 782 - Unaí - MG","(38) 3676-3572",,,
"Camisaria Bela Aliança","Rua Djalma Torres, 410 - Centro - Unaí - MG","(38) 3676-9629",,,
"Loja do Nininha Camisaria","Avenida Governador Valadares, 523 - Unaí - MG","(38) 3676-1559",,,
"Camisaria Martins","Rua Aldeia, 91 - Unaí - MG","(38) 3676-2204",,,
"Maximus Camisaria","Rua São José, 367 - Unaí - MG","(38) 3676-8141",,,
"Camisaria Visagem","Rua Alba Gonzaga, 273 - Unaí - MG","(38) 3676-4011",,,
"Colégio do Carmo","Rua Celina Lisboa Frederico, 142 - Centro - Unaí - MG","(38) 3677-6114",,,
"Campo Elétrico","R. Eli Pinto de Carvalho, 799 - Centro - Unaí, MG","(38) 3676-5061","(38) 99957-1396",https://www.instagram.com/campoeletrico.unai,https://www.campoeletricounai.com.br
"Cantinho da Picanha","Rua Aldeia, 158 - Unaí - MG","(38) 3677-6007",,,
"Capacitar Cursos","Rua Francisco R. da Silva, 268 - Unaí - MG","(38) 3676-8161",,,
"Velório Emanuel","Rua Luiz Alves, 597 - Cachoeira - Unaí - MG","(38) 99944-7340","(38) 99944-7340",,
"Capul - Cooperativa Agropecuária de Unaí","R. Pref. João Costa, 1455 - Barroca - Unaí, MG","(38) 2102-5100",(38)99961-3611,https://www.instagram.com/capuloficial,http://www.capul.coop.br
"Capital Pneus e Rodas","Rua Virgílio Justiniano Ribeiro, 1296 - Unaí - MG","(38) 3676-1240",,,
"Cargeul Cia de Armazéns Gerais","Avenida Castelo Branco, 419 - Unaí - MG","(38) 3676-1825",,,
"Carrocerias - RBE Lonas","Rodovia Br 251, km 97 - Unaí - MG","(38) 3677-2221",,,
"Carrocerias São José","Rua Porangatú, 10 - Unaí - MG","(38) 3676-1709",,,
